Temperature: ,Alcohol:,Pressure:,Hour: ,Minute:,Second:,Date:(Y.M.D) 
23.3125,12,96.6225,12,1,44,15/2/2016
23.3125,0,96.629,12,1,56,15/2/2016
23.3125,9,96.6277,12,2,8,15/2/2016
23.375,16,96.6263,12,2,19,15/2/2016
23.5,0,96.6275,12,2,31,15/2/2016
23.5625,11,96.6335,12,2,43,15/2/2016
23.875,12,96.628,14,5,0,15/2/2016
23.875,0,96.6275,14,5,2,15/2/2016
23.875,9,96.6298,14,5,5,15/2/2016
23.875,0,96.6298,14,5,8,15/2/2016
23.875,6,96.6318,14,5,11,15/2/2016
23.875,48,96.627,14,5,14,15/2/2016
23.875,0,96.6305,14,5,17,15/2/2016
23.875,17,96.6302,14,5,20,15/2/2016
23.875,0,96.6308,14,5,23,15/2/2016
23.875,8,96.629,14,5,26,15/2/2016
23.875,26,96.629,14,5,29,15/2/2016
23.875,0,96.6288,14,5,32,15/2/2016
23.875,45,96.63,14,5,35,15/2/2016
23.9375,0,96.6285,14,5,38,15/2/2016
23.875,32,96.6275,14,5,41,15/2/2016
23.875,0,96.626,14,5,44,15/2/2016
23.9375,4,96.6283,14,5,47,15/2/2016
23.9375,16,96.6298,14,5,50,15/2/2016
23.9375,0.016,96.634,14,5,52,15/2/2016
23.9375,0.016,96.629,14,5,55,15/2/2016
23.9375,0.016,96.6283,14,5,59,15/2/2016
23.9375,0.016,96.6302,14,6,2,15/2/2016
23.9375,0.016,96.6288,14,6,5,15/2/2016
23.9375,0.016,96.6285,14,6,8,15/2/2016
23.9375,0.016,96.6267,14,6,11,15/2/2016
23.9375,0.016,96.629,14,6,14,15/2/2016
23.9375,0.016,96.6292,14,6,16,15/2/2016
23.9375,0.016,96.627,14,6,20,15/2/2016
23.9375,0.016,96.631,14,6,23,15/2/2016
23.9375,0.016,96.6292,14,6,25,15/2/2016
24.125,12,96.703,15,21,29,15/2/2016
